Loading merged.csv ...
Training years used: [2020, 2021, 2022, 2023]

==================================================
  Experiment: Withholding m=0 stations
==================================================
  Running 1 iterations for m=0...

  --- Iteration 1/1 ---
  Unseen stations (0): []
  [Time Est] ~13.0s/epoch. ETA for m=0: ~4.3 mins.
    Epoch   10/1000 | Loss: 3.5704 | Monitor MAE: 1.7450 | Patience: 0/10
    Epoch   20/1000 | Loss: 3.5363 | Monitor MAE: 1.7070 | Patience: 1/10
    Epoch   30/1000 | Loss: 3.5042 | Monitor MAE: 1.6981 | Patience: 0/10
    Epoch   40/1000 | Loss: 3.4960 | Monitor MAE: 1.6765 | Patience: 3/10
    Epoch   50/1000 | Loss: 3.4638 | Monitor MAE: 1.6651 | Patience: 7/10
    Epoch   60/1000 | Loss: 3.4567 | Monitor MAE: 1.6581 | Patience: 3/10
    Early stopping triggered after 66 epochs.
    Iter 1 Results -> Seen MAE: 1.6528

  ========================================
  AGGREGATED RESULTS (Across all iterations)
  SEEN   mean MAE Tmax: 1.6528
  ========================================

  [AGGREGATED_CURVES_START]
    Epoch 161:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 162:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 163:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 164:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 165:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 166:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 167:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 168:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 169:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 170:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 171:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 172:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 173:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 174:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 175:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 176:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 177:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 178:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 179:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 180:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 181:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 182:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 183:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 184:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 185:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 186:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 187:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 188:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 189:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 190:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 191:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 192:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 193:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 194:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 195:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 196:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 197:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 198:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 199:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 200:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 201:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 202:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
    Epoch 203:  [avg_train_loss=3.4469, avg_seen_mae=1.6587]
